res_e,learning_rate,fidelity,converged,epochs
34.48362679861286,0.01,0.08474589462342504,False,1000
36.70450253866413,0.01,0.10564753162169696,False,1000
8.0240110912154,0.01,0.18271232754877792,False,1000
38.462254957182196,0.01,0.05183374238260294,False,1000
0.17786546133258696,0.01,0.9708324280721589,True,424
9.615758375150946,0.01,0.7209003974913213,False,1000
1.9341673412153995,0.01,0.9055590297455528,False,1000
0.07723374746539946,0.01,0.9928006233405614,False,1000
3.2979445018599307,0.01,0.8319666803851922,False,1000
0.9921240367720401,0.01,0.9519576107544131,False,1000
6.969861463529853,0.01,0.7068990319645206,False,1000
0.42230744741657134,0.01,0.9739531087842385,False,1000
0.06172318838336821,0.01,0.9944036058708304,True,874
0.09176774404743071,0.01,0.9882282557913874,False,1000
38.978129819853095,0.01,0.09404614414688449,False,1000
32.4326910533736,0.01,0.1375618466283563,False,1000
0.9398092784712588,0.01,0.8024441836711314,True,524
18.143670515043524,0.01,0.3290198368497563,True,624
0.21189256094196196,0.01,0.9685548925930662,False,1000
0.35008759878375884,0.01,0.9318803616119664,False,1000
