res_e,learning_rate,fidelity,converged,epochs
0.37569566152789946,0.01,0.9285515271089911,False,3000
0.3639387645552432,0.01,0.9281731284254273,False,3000
0.39565415762164946,0.01,0.9212671078835851,False,3000
0.3727240123579776,0.01,0.9261686557350974,False,3000
0.5578627147505557,0.01,0.8804773077762579,False,3000
0.2872480907271182,0.01,0.9482425194006333,False,3000
0.49147935293414946,0.01,0.892665742771572,False,3000
0.42865891836383696,0.01,0.9135122884310841,False,3000
0.26616807363727446,0.01,0.9537147546507209,False,3000
36.75787110708454,0.01,0.11728185045311501,False,3000
0.9406065501997745,0.01,0.8022720008917168,False,3000
0.2192396678755557,0.01,0.9660876956379535,False,3000
0.45710130117633696,0.01,0.903353988200943,False,3000
0.7271322765181338,0.01,0.8456567411511694,False,3000
0.39356370352008696,0.01,0.9216336052343534,False,3000
0.9436888255903995,0.01,0.8018716390847002,False,3000
0.17727418325641509,0.01,0.9734268251223147,False,3000
0.45585008047321196,0.01,0.9034862310016546,False,3000
0.36388535879352446,0.01,0.9281666105486397,False,3000
0.4571814098189151,0.01,0.9033658536158032,False,3000
